Movie Name,Language,Genre,Rating,Review
Inception,English,Sci-Fi,9.0,Mind-bending thriller
Dangal,Hindi,Sports,8.5,Inspirational wrestling drama
Parasite,Korean,Thriller,8.9,Masterpiece on class divide
3 Idiots,Hindi,Comedy,8.4,Must-watch college drama
Interstellar,English,Sci-Fi,8.6,Epic space journey
Sholay,Hindi,Action,8.2,Classic Bollywood hit
Avengers: Endgame,English,Action,8.4,Epic superhero battle
PK,Hindi,Comedy,8.1,Thought-provoking satire
The Dark Knight,English,Action,9.1,Best Batman movie
Zindagi Na Milegi Dobara,Hindi,Adventure,8.2,Beautiful life lessons
